0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.73
0,0,0
0.03,0,0.74
0,0,0
0.03,0,0.78
0,0,0
0.03,0,0.82
0,0,0
0.03,0,0.86
0,0,0
0.03,0,0.9
0,0,0
0.03,0,0.94
0,0,0
0.03,0,0.98
0,0,0
0.03,0,1.01
0,0,0
0.03,0,1.05
0,0,0
0.03,0,1.09
0,0,0
0.03,0,1.14
0,0,0
0.03,0,1.18
0,0,0
0.03,0,1.22
0,0,0
0.03,0,1.25
0,0,0
0.03,0,1.28
0,0,0
0.03,0,1.33
0,0,0
0.03,0,1.38
0,0,0
0.03,0,1.41
0,0,0
0.03,0,1.42
0,0,0
0.03,0,1.42
0,0,0
0.03,0,1.42
0,0,0
0.03,0,1.42
0,0,0
0.03,0,1.42
0,0,0
0.03,0,1.42
0,0,0
0.03,0,1.42
0,0,0
0.03,0,1.42
0,0,0
0.03,0,1.42
0,0,0
0.03,0,1.42
0,0,0
0.03,0,1.42
0,0,0
0.03,0,1.42
0,0,0
0.03,0,1.42
0,0,0
0.03,0,1.42
0,0,0
0.03,0,1.42
0,0,0
0.03,0,1.42
0,0,0
0.03,0,1.42
0,0,0
0.03,0,1.42
0,0,0
0.03,0,1.42
0,0,0
0.03,0,1.42
0,0,0
0.03,0,1.42
0,0,0
0.03,0,1.42
0,0,0
0,0,1.42
0,0,0
-0.04,0,1.42
0,0,0
-0.08,0,1.42
0,0,0
-0.13,0,1.42
0,0,0
-0.17,0,1.42
0,0,0
-0.21,0,1.42
0,0,0
-0.24,0,1.42
0,0,0
-0.28,0,1.42
0,0,0
-0.32,0,1.41
0,-0.02,0
-0.35,0,1.39
0,-0.09,0
-0.36,0,1.34
0,-0.15,0
-0.36,0,1.3
0,-0.22,0
-0.36,0,1.26
0,-0.28,0
-0.36,0,1.22
0,-0.34,0
-0.36,0,1.18
0,-0.4,0
-0.36,0,1.15
0,-0.44,0
-0.36,0,1.1
0,-0.5,0
-0.36,0,1.06
0,-0.56,0
-0.36,0,1.02
0,-0.62,0
-0.36,0,0.98
0,-0.66,0
-0.35,0,0.95
0,-0.7,0
-0.3,0,0.91
0,-0.74,0
-0.26,0,0.86
0,-0.79,0
-0.22,0,0.83
0,-0.82,0
-0.18,0,0.81
0,-0.82,0
-0.15,0,0.8
0,-0.79,0
-0.09999999,0,0.8
0,-0.74,0
-0.06,0,0.8
0,-0.7,0
-0.03,0,0.8
0,-0.66,0
0.01,0,0.8
0,-0.61,0
0.06,0,0.8
0,-0.56,0
0.09999999,0,0.8
0,-0.5,0
0.14,0,0.8
0,-0.44,0
0.15,0,0.8
0,-0.38,0
0.15,0,0.8
0,-0.32,0
0.15,0,0.8
0,-0.26,0
0.15,0,0.8
0,-0.22,0
0.15,0,0.8
0,-0.15,0
0.15,0,0.8
0,-0.08,0
0.15,0,0.8
0,-0.01,0
0.15,0,0.8
0,0,0
0.15,0,0.79
0,-0.04,0
0.15,0,0.75
0,-0.11,0
0.15,0,0.71
0,-0.18,0
0.15,0,0.67
0,-0.24,0
0.15,0,0.63
0,-0.3,0
0.15,0,0.6
0,-0.35,0
0.15,0,0.55
0,-0.42,0
0.15,0,0.51
0,-0.48,0
0.15,0,0.47
0,-0.53,0
0.15,0,0.44
0,-0.57,0
0.15,0,0.4
0,-0.62,0
0.14,0,0.36
0,-0.67,0
0.14,0,0.34
0,-0.66,0
0.14,0,0.34
0,-0.61,0
0.14,0,0.34
0,-0.55,0
0.14,0,0.34
0,-0.5,0
0.14,0,0.34
0,-0.46,0
0.14,0,0.34
0,-0.4,0
0.14,0,0.34
0,-0.35,0
0.14,0,0.34
0,-0.28,0
0.14,0,0.34
0,-0.22,0
0.14,0,0.34
0,-0.15,0
0.14,0,0.34
0,-0.09999999,0
0.14,0,0.34
0,-0.04,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
0.14,0,0.34
0,0,0
